variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
cptA	8.43E-01	1.34E-01	4.96E-02	3.26E-01	1.65E-01	1.14E-01	
group_8281	8.43E-01	4.04E-01	9.68E-01	-4.93E-03	1.22E-01	2.34E-03	
group_8234	8.43E-01	4.04E-01	9.68E-01	-4.93E-03	1.22E-01	2.34E-03	
group_6727	8.43E-01	4.04E-01	9.68E-01	-4.93E-03	1.22E-01	2.34E-03	
group_6517	8.43E-01	4.04E-01	3.18E-01	-1.39E-01	1.39E-01	5.80E-02	
group_6352	8.43E-01	4.04E-01	9.68E-01	-4.93E-03	1.22E-01	2.34E-03	
group_5617	8.43E-01	4.04E-01	9.68E-01	-4.93E-03	1.22E-01	2.34E-03	
group_5591	8.43E-01	4.04E-01	9.68E-01	-4.93E-03	1.22E-01	2.34E-03	
group_4918	8.43E-01	2.43E-01	5.80E-01	-9.07E-02	1.64E-01	3.22E-02	
group_4727	8.43E-01	3.04E-02	6.07E-01	8.48E-02	1.65E-01	2.99E-02	
group_16695	8.39E-01	3.46E-01	3.10E-01	-1.31E-01	1.28E-01	5.89E-02	
group_16443	8.39E-01	2.03E-01	9.31E-02	-2.25E-01	1.33E-01	9.73E-02	
group_14767	8.39E-01	3.46E-01	5.18E-01	7.58E-02	1.17E-01	3.76E-02	
group_13786	8.39E-01	2.03E-01	7.97E-01	4.54E-02	1.77E-01	1.49E-02	
group_13086	8.39E-01	1.09E-01	6.43E-01	-6.40E-02	1.38E-01	2.69E-02	
group_12630	8.39E-01	9.52E-03	2.57E-01	1.61E-01	1.42E-01	6.57E-02	
group_12580	8.39E-01	2.03E-01	7.53E-01	-5.61E-02	1.78E-01	1.83E-02	
holB	8.39E-01	1.09E-01	6.93E-01	-4.75E-02	1.20E-01	2.29E-02	
group_12285	8.39E-01	3.46E-01	4.68E-01	-9.07E-02	1.25E-01	4.21E-02	
group_11900	8.39E-01	5.40E-01	6.21E-01	-5.84E-02	1.18E-01	2.87E-02	
group_11766	8.39E-01	2.03E-01	6.21E-01	-8.76E-02	1.77E-01	2.87E-02	
group_11527	8.39E-01	3.46E-01	3.83E-01	-1.01E-01	1.16E-01	5.06E-02	
group_10297	8.39E-01	1.09E-01	4.32E-01	-1.17E-01	1.48E-01	4.56E-02	
group_9492	8.39E-01	5.33E-02	9.75E-01	4.69E-03	1.49E-01	1.83E-03	
group_8635	8.39E-01	3.46E-01	8.37E-01	2.42E-02	1.17E-01	1.20E-02	
group_8232	8.39E-01	3.46E-01	8.37E-01	2.42E-02	1.17E-01	1.20E-02	
tmpT	8.39E-01	5.40E-01	3.24E-02	-2.79E-01	1.30E-01	1.24E-01	
group_20037	8.36E-01	8.83E-02	9.14E-01	-1.28E-02	1.18E-01	6.27E-03	
group_19787	8.36E-01	8.83E-02	9.14E-01	-1.28E-02	1.18E-01	6.27E-03	
group_19461	8.36E-01	9.46E-01	3.46E-01	-1.11E-01	1.18E-01	5.47E-02	
group_19444	8.36E-01	9.46E-01	3.46E-01	-1.11E-01	1.18E-01	5.47E-02	
group_15752	8.36E-01	1.83E-02	2.11E-01	1.71E-01	1.37E-01	7.25E-02	
group_14159	8.36E-01	1.68E-01	7.31E-01	5.69E-02	1.65E-01	2.00E-02	
group_14016	8.36E-01	1.68E-01	7.31E-01	5.69E-02	1.65E-01	2.00E-02	
trpI	8.36E-01	1.68E-01	7.29E-01	5.72E-02	1.65E-01	2.01E-02	
group_13089	8.36E-01	2.94E-01	6.94E-01	-4.95E-02	1.26E-01	2.29E-02	
group_12924	8.36E-01	1.83E-02	3.49E-01	1.08E-01	1.15E-01	5.44E-02	
group_12833	8.36E-01	2.94E-01	5.99E-01	-7.10E-02	1.35E-01	3.05E-02	
group_12125	8.36E-01	4.70E-01	3.35E-02	-2.66E-01	1.24E-01	1.23E-01	
