variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_8407	1.21E-01	7.64E-03	5.14E-01	-4.38E-02	6.70E-02	3.80E-02	bad-chisq
pcaC	1.21E-01	7.64E-03	5.14E-01	-4.38E-02	6.70E-02	3.80E-02	bad-chisq
pyrC	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_7934	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_7819	1.21E-01	2.67E-02	6.72E-01	-2.89E-02	6.81E-02	2.47E-02	
group_7710	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_7591	1.18E-01	3.11E-02	7.58E-01	-2.35E-02	7.62E-02	1.80E-02	
group_7533	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_7527	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_6920	1.21E-01	7.64E-03	5.14E-01	-4.38E-02	6.70E-02	3.80E-02	bad-chisq
group_6919	1.21E-01	7.64E-03	5.14E-01	-4.38E-02	6.70E-02	3.80E-02	bad-chisq
group_6566	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_6542	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_6497	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_5448	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_5345	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_5327	1.21E-01	7.64E-03	5.14E-01	-4.38E-02	6.70E-02	3.80E-02	bad-chisq
group_5326	1.21E-01	7.64E-03	5.14E-01	-4.38E-02	6.70E-02	3.80E-02	bad-chisq
group_5162	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_4985	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_4907	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_4705	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_4704	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_4004	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_3740	1.21E-01	7.64E-03	5.14E-01	-4.38E-02	6.70E-02	3.80E-02	bad-chisq
group_2999	1.21E-01	7.64E-03	2.99E-01	-1.52E-01	1.46E-01	6.05E-02	bad-chisq
fecA	1.21E-01	7.64E-03	2.88E-01	-2.43E-01	2.28E-01	6.18E-02	bad-chisq
group_21394	1.18E-01	2.97E-01	2.46E-03	2.21E-01	7.23E-02	1.75E-01	
group_21043	1.11E-01	4.22E-02	6.14E-01	-3.31E-02	6.56E-02	2.94E-02	
group_21042	1.11E-01	4.22E-02	6.14E-01	-3.31E-02	6.56E-02	2.94E-02	
group_20442	1.14E-01	3.62E-02	5.37E-01	-4.08E-02	6.59E-02	3.60E-02	
hemJ	1.11E-01	2.98E-03	9.08E-01	-3.86E-02	3.32E-01	6.76E-03	bad-chisq
group_19804	1.04E-01	4.14E-03	1.65E-01	-9.38E-02	6.74E-02	8.07E-02	bad-chisq
group_19750	1.11E-01	2.98E-03	9.08E-01	-3.86E-02	3.32E-01	6.76E-03	bad-chisq
dodA	1.11E-01	2.98E-03	9.08E-01	-3.86E-02	3.32E-01	6.76E-03	bad-chisq
group_19519	1.18E-01	3.11E-02	6.83E-01	6.57E-02	1.61E-01	2.38E-02	
group_19112	1.11E-01	2.98E-03	9.27E-01	-2.32E-02	2.54E-01	5.31E-03	bad-chisq
group_19001	1.11E-01	2.98E-03	9.19E-01	-2.74E-02	2.69E-01	5.93E-03	bad-chisq
group_18973	1.11E-01	2.98E-03	9.27E-01	-2.32E-02	2.54E-01	5.31E-03	bad-chisq
group_18940	1.11E-01	2.98E-03	9.27E-01	-2.32E-02	2.54E-01	5.31E-03	bad-chisq
group_18838	1.11E-01	2.98E-03	9.27E-01	-2.32E-02	2.54E-01	5.31E-03	bad-chisq
uspA~~~teaD	1.11E-01	2.98E-03	9.08E-01	-3.86E-02	3.32E-01	6.76E-03	bad-chisq
group_18532	1.11E-01	2.98E-03	9.29E-01	-2.23E-02	2.51E-01	5.17E-03	bad-chisq
group_18308	1.18E-01	8.97E-01	1.61E-01	1.04E-01	7.41E-02	8.15E-02	
group_18120	1.18E-01	8.97E-01	1.61E-01	1.04E-01	7.41E-02	8.15E-02	
group_18119	1.18E-01	8.97E-01	1.61E-01	1.04E-01	7.41E-02	8.15E-02	
group_18114	1.11E-01	2.98E-03	9.10E-01	-3.79E-02	3.34E-01	6.61E-03	bad-chisq
yccS~~~yccC	1.11E-01	2.98E-03	9.29E-01	-2.33E-02	2.61E-01	5.22E-03	bad-chisq
group_17858	1.11E-01	2.98E-03	9.10E-01	-3.79E-02	3.34E-01	6.61E-03	bad-chisq
group_17857	1.18E-01	8.97E-01	1.61E-01	1.04E-01	7.41E-02	8.15E-02	
group_17856	1.18E-01	8.97E-01	1.61E-01	1.04E-01	7.41E-02	8.15E-02	
rocD	1.11E-01	2.98E-03	9.08E-01	-3.86E-02	3.32E-01	6.76E-03	bad-chisq
group_17524	1.18E-01	8.97E-01	1.61E-01	1.04E-01	7.41E-02	8.15E-02	
intS	1.18E-01	8.97E-01	9.29E-02	1.10E-01	6.54E-02	9.77E-02	
group_17138	1.18E-01	8.98E-03	2.15E-01	-1.96E-01	1.58E-01	7.21E-02	bad-chisq
group_17041	1.18E-01	8.97E-01	1.61E-01	1.04E-01	7.41E-02	8.15E-02	
group_17040	1.18E-01	8.97E-01	1.61E-01	1.04E-01	7.41E-02	8.15E-02	
group_16760	1.18E-01	8.97E-01	1.61E-01	1.04E-01	7.41E-02	8.15E-02	
group_16573	1.18E-01	8.98E-03	4.06E-01	-1.58E-01	1.90E-01	4.84E-02	bad-chisq
yecD	1.18E-01	8.94E-02	7.30E-01	2.78E-02	8.03E-02	2.01E-02	
group_16261	1.18E-01	8.97E-01	7.75E-02	1.15E-01	6.47E-02	1.03E-01	
group_16134	1.18E-01	3.11E-02	5.43E-01	-3.95E-02	6.49E-02	3.54E-02	
cidA~~~yohJ	1.11E-01	2.98E-03	9.08E-01	-3.86E-02	3.32E-01	6.76E-03	bad-chisq
group_14345	1.18E-01	8.98E-03	4.00E-01	-1.65E-01	1.96E-01	4.90E-02	bad-chisq
group_14232	1.14E-01	2.53E-03	3.59E-01	-9.28E-02	1.01E-01	5.34E-02	bad-chisq
group_14053	1.18E-01	8.98E-03	4.00E-01	-1.65E-01	1.96E-01	4.90E-02	bad-chisq
group_13545	1.18E-01	8.98E-03	4.00E-01	-1.65E-01	1.96E-01	4.90E-02	bad-chisq
group_13433	1.18E-01	8.98E-03	4.00E-01	-1.65E-01	1.96E-01	4.90E-02	bad-chisq
group_13311	1.18E-01	8.98E-03	4.00E-01	-1.65E-01	1.96E-01	4.90E-02	bad-chisq
group_13256	1.18E-01	8.98E-03	4.17E-01	-1.54E-01	1.89E-01	4.72E-02	bad-chisq
group_13197	1.18E-01	8.97E-01	6.30E-02	1.38E-01	7.38E-02	1.08E-01	
