variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_8033	6.14E-02	5.18E-01	8.08E-01	2.46E-02	1.01E-01	1.43E-02	
tssF	5.46E-02	1.04E-01	2.08E-01	-2.75E-01	2.18E-01	7.37E-02	bad-chisq
group_7600	6.14E-02	5.18E-01	7.35E-01	3.58E-02	1.06E-01	1.99E-02	
group_7384	6.14E-02	5.18E-01	7.35E-01	3.58E-02	1.06E-01	1.99E-02	
group_6904	6.14E-02	5.18E-01	7.35E-01	3.58E-02	1.06E-01	1.99E-02	
group_6696	6.14E-02	7.11E-02	4.73E-01	-7.46E-02	1.04E-01	4.21E-02	bad-chisq
fixA	5.46E-02	1.04E-01	2.30E-01	-1.74E-01	1.45E-01	7.04E-02	bad-chisq
group_5865	6.14E-02	5.18E-01	7.35E-01	3.58E-02	1.06E-01	1.99E-02	
group_5097	5.46E-02	1.04E-01	2.77E-01	-1.19E-01	1.09E-01	6.37E-02	bad-chisq
group_5040	6.14E-02	5.18E-01	6.08E-01	5.43E-02	1.06E-01	3.01E-02	
group_4858	6.14E-02	5.18E-01	7.35E-01	3.58E-02	1.06E-01	1.99E-02	
group_4854	6.14E-02	5.18E-01	8.08E-01	2.46E-02	1.01E-01	1.43E-02	
tssE	5.46E-02	1.04E-01	2.08E-01	-2.75E-01	2.18E-01	7.37E-02	bad-chisq
group_4821	6.14E-02	5.18E-01	7.35E-01	3.58E-02	1.06E-01	1.99E-02	
cas1e	6.14E-02	2.20E-01	9.69E-01	-4.05E-03	1.04E-01	2.28E-03	
cas7e	6.14E-02	2.20E-01	9.69E-01	-4.05E-03	1.04E-01	2.28E-03	
group_3750	6.14E-02	5.18E-01	7.35E-01	3.58E-02	1.06E-01	1.99E-02	
group_3588	6.14E-02	5.18E-01	7.35E-01	3.58E-02	1.06E-01	1.99E-02	
group_3504	6.14E-02	5.18E-01	7.35E-01	3.58E-02	1.06E-01	1.99E-02	
cas6e	6.14E-02	2.20E-01	9.69E-01	-4.05E-03	1.04E-01	2.28E-03	
group_3378	6.14E-02	5.18E-01	7.35E-01	3.58E-02	1.06E-01	1.99E-02	
casB	6.14E-02	2.20E-01	9.69E-01	-4.05E-03	1.04E-01	2.28E-03	
group_3256	6.14E-02	2.20E-01	9.69E-01	-4.05E-03	1.04E-01	2.28E-03	
group_3183	6.14E-02	5.18E-01	7.35E-01	3.58E-02	1.06E-01	1.99E-02	
group_2925	5.46E-02	1.04E-01	2.08E-01	-2.75E-01	2.18E-01	7.37E-02	bad-chisq
casA	6.14E-02	2.20E-01	9.69E-01	-4.05E-03	1.04E-01	2.28E-03	
group_2620	6.14E-02	5.18E-01	7.35E-01	3.58E-02	1.06E-01	1.99E-02	
group_533	6.14E-02	7.11E-02	4.73E-01	-7.46E-02	1.04E-01	4.21E-02	bad-chisq
group_23669	5.46E-02	3.10E-01	4.57E-01	-1.05E-01	1.40E-01	4.36E-02	
group_23158	5.46E-02	2.51E-02	1.19E-01	-1.66E-01	1.06E-01	9.12E-02	bad-chisq
group_23047	5.80E-02	9.47E-01	2.70E-01	1.14E-01	1.03E-01	6.46E-02	
group_23024	5.80E-02	1.38E-06	1.07E-02	2.71E-01	1.05E-01	1.49E-01	
group_21845	5.46E-02	8.34E-01	2.95E-01	1.43E-01	1.37E-01	6.14E-02	
group_21739	5.80E-02	2.07E-02	1.29E-01	-1.59E-01	1.04E-01	8.90E-02	bad-chisq
group_21170	5.80E-02	5.97E-01	4.47E-01	8.24E-02	1.08E-01	4.46E-02	
group_21168	5.80E-02	5.97E-01	4.47E-01	8.24E-02	1.08E-01	4.46E-02	
group_20563	5.12E-02	3.67E-01	9.17E-01	2.32E-02	2.24E-01	6.08E-03	
group_19743	5.80E-02	9.47E-01	4.45E-01	7.96E-02	1.04E-01	4.48E-02	
