variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_21012	9.76E-02	3.16E-05	5.41E-01	-2.07E-01	3.39E-01	3.56E-02	bad-chisq
group_20674	1.04E-01	1.25E-01	4.42E-01	-6.37E-02	8.27E-02	4.48E-02	
group_20253	1.04E-01	2.56E-01	6.33E-01	-4.01E-02	8.39E-02	2.78E-02	
group_19754	1.08E-01	4.70E-03	6.40E-01	-6.15E-02	1.32E-01	2.72E-02	
group_19695	1.04E-01	7.34E-01	4.23E-02	1.75E-01	8.59E-02	1.18E-01	
group_19534	1.08E-01	3.04E-04	2.74E-01	-1.67E-01	1.53E-01	6.36E-02	
group_19183	1.08E-01	2.93E-12	3.49E-02	1.81E-01	8.56E-02	1.22E-01	
ydhS	9.76E-02	1.76E-04	9.99E-01	3.08E-04	3.94E-01	4.56E-05	bad-chisq
group_17988	1.08E-01	3.04E-04	2.89E-01	-1.71E-01	1.61E-01	6.17E-02	
group_17556	1.08E-01	9.90E-02	3.10E-01	-9.91E-02	9.75E-02	5.91E-02	
yiaG	9.76E-02	3.16E-05	6.18E-01	-1.27E-01	2.54E-01	2.91E-02	bad-chisq
group_17384	9.76E-02	1.76E-04	9.68E-01	-1.59E-02	3.97E-01	2.34E-03	bad-chisq
group_17013	1.04E-01	4.60E-01	7.62E-01	-2.56E-02	8.43E-02	1.77E-02	
group_16762	9.76E-02	1.76E-04	9.61E-01	-1.71E-02	3.50E-01	2.84E-03	bad-chisq
group_16438	1.04E-01	5.34E-02	5.32E-01	-5.30E-02	8.46E-02	3.64E-02	
group_14840	1.08E-01	3.04E-04	6.60E-03	-2.20E-01	8.05E-02	1.57E-01	
group_14582	9.76E-02	3.16E-05	5.41E-01	-2.07E-01	3.39E-01	3.56E-02	bad-chisq
group_14201	1.01E-01	8.64E-03	6.02E-01	-5.48E-02	1.05E-01	3.04E-02	
group_14008	1.08E-01	3.04E-04	7.68E-03	-2.18E-01	8.13E-02	1.54E-01	
group_13854	1.01E-01	8.64E-03	6.02E-01	-5.48E-02	1.05E-01	3.04E-02	
group_13650	1.08E-01	4.81E-01	1.71E-01	1.18E-01	8.58E-02	7.97E-02	
group_13269	1.01E-01	8.64E-03	6.02E-01	-5.48E-02	1.05E-01	3.04E-02	
group_12592	1.01E-01	8.64E-03	6.02E-01	-5.48E-02	1.05E-01	3.04E-02	
