variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_13061	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_12921	8.67E-02	6.16E-04	9.30E-01	5.16E-02	5.85E-01	5.11E-03	
group_12920	8.67E-02	6.16E-04	9.30E-01	5.16E-02	5.85E-01	5.11E-03	
group_12712	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
phnE	8.67E-02	4.83E-01	9.20E-02	-1.60E-01	9.43E-02	9.75E-02	
group_12324	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
htxA	8.67E-02	4.83E-01	9.20E-02	-1.60E-01	9.43E-02	9.75E-02	
group_11907	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_11904	8.67E-02	4.83E-01	9.20E-02	-1.60E-01	9.43E-02	9.75E-02	
hxsD	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_11220	8.67E-02	1.18E-02	1.33E-02	-2.54E-01	1.02E-01	1.43E-01	
htxB	8.67E-02	4.83E-01	9.20E-02	-1.60E-01	9.43E-02	9.75E-02	
group_10726	8.67E-02	1.18E-02	9.46E-01	-1.73E-02	2.58E-01	3.90E-03	
group_10577	8.67E-02	3.91E-02	5.86E-01	-9.91E-02	1.82E-01	3.16E-02	
group_10429	8.67E-02	1.08E-01	3.53E-01	-1.04E-01	1.12E-01	5.38E-02	
traB	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_10005	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_9965	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_9720	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_9113	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_8789	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_8575	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_8493	8.67E-02	1.08E-01	3.53E-01	-1.04E-01	1.12E-01	5.38E-02	
group_8247	8.67E-02	1.08E-01	8.72E-01	-2.81E-02	1.75E-01	9.34E-03	
group_8115	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_8007	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_8006	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
traV	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
