variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_19883	1.14E-01	1.64E-03	1.07E-02	-1.87E-01	7.28E-02	1.48E-01	
group_19859	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_19697	1.25E-01	6.65E-04	1.49E-01	-2.85E-01	1.97E-01	8.39E-02	
pilS~~~pilA~~~fimT	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
pulF	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_19582	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_19439	1.21E-01	7.13E-02	8.73E-01	1.30E-02	8.10E-02	9.32E-03	
group_19437	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_18945	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
rdmE	1.25E-01	6.65E-04	8.18E-02	-3.97E-01	2.27E-01	1.01E-01	
ywqN~~~wrbA	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_18105	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_17537	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_17536	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_17362	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
pilN~~~bfpB~~~pulD	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_17139	1.25E-01	6.65E-04	8.18E-02	-3.97E-01	2.27E-01	1.01E-01	
group_17064	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_17063	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_17054	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_17053	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_16838	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_16768	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_16746	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_16652	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_16611	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_16479	1.25E-01	5.68E-02	8.22E-01	-1.86E-02	8.29E-02	1.31E-02	
pbpG~~~lysR~~~hcaR	1.21E-01	1.54E-01	8.62E-01	1.37E-02	7.89E-02	1.01E-02	
group_16226	1.25E-01	6.65E-04	8.18E-02	-3.97E-01	2.27E-01	1.01E-01	
group_15768	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_15339	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_14970	1.25E-01	6.65E-04	8.18E-02	-3.97E-01	2.27E-01	1.01E-01	
group_14788	1.25E-01	6.65E-04	8.18E-02	-3.97E-01	2.27E-01	1.01E-01	
takP~~~fcbT1	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_12613	1.25E-01	6.65E-04	1.78E-01	-2.35E-01	1.74E-01	7.83E-02	
