variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_3788	1.99E-01	2.86E-01	6.87E-01	-4.56E-02	1.13E-01	2.46E-02	
group_3729	1.99E-01	2.86E-01	6.87E-01	-4.56E-02	1.13E-01	2.46E-02	
group_3509	1.99E-01	2.86E-01	6.87E-01	-4.56E-02	1.13E-01	2.46E-02	
group_3502	1.99E-01	2.86E-01	6.87E-01	-4.56E-02	1.13E-01	2.46E-02	
group_3459	1.99E-01	2.86E-01	6.72E-01	-4.65E-02	1.10E-01	2.58E-02	
group_3376	1.99E-01	2.86E-01	6.87E-01	-4.56E-02	1.13E-01	2.46E-02	
group_3201	1.99E-01	2.86E-01	6.87E-01	-4.56E-02	1.13E-01	2.46E-02	
group_3195	1.99E-01	2.86E-01	6.87E-01	-4.56E-02	1.13E-01	2.46E-02	
group_3194	1.99E-01	2.86E-01	6.87E-01	-4.56E-02	1.13E-01	2.46E-02	
group_2169	1.99E-01	2.86E-01	6.72E-01	-4.65E-02	1.10E-01	2.58E-02	
group_1467	1.99E-01	2.86E-01	6.87E-01	-4.56E-02	1.13E-01	2.46E-02	
group_1369	1.99E-01	2.86E-01	6.72E-01	-4.65E-02	1.10E-01	2.58E-02	
group_24769	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_24768	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_24179	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_24142	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_23981	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_23785	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_23548	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_23388	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_23173	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_22045	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_21695	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_21392	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_20048	1.96E-01	2.16E-01	4.80E-01	-7.73E-02	1.09E-01	4.31E-02	
group_20047	1.96E-01	2.16E-01	4.80E-01	-7.73E-02	1.09E-01	4.31E-02	
group_19621	1.96E-01	2.16E-01	4.80E-01	-7.73E-02	1.09E-01	4.31E-02	
group_17474	1.96E-01	2.16E-01	4.80E-01	-7.73E-02	1.09E-01	4.31E-02	
group_17473	1.96E-01	2.16E-01	4.80E-01	-7.73E-02	1.09E-01	4.31E-02	
group_16950	1.96E-01	2.16E-01	4.80E-01	-7.73E-02	1.09E-01	4.31E-02	
group_15538	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
hexR	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_15233	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_13382	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_13380	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_13379	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_11463	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_10846	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_10566	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_9999	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_9901	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_9789	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_9306	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_8440	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_7920	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_7806	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_7657	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
ftrA	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_7127	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_7100	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_7031	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_7022	1.96E-01	2.16E-01	4.98E-01	-7.47E-02	1.10E-01	4.13E-02	
group_6540	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_6470	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_6363	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_6322	1.96E-01	2.16E-01	4.93E-01	-7.48E-02	1.09E-01	4.18E-02	
group_6115	1.99E-01	2.86E-01	6.87E-01	-4.56E-02	1.13E-01	2.46E-02	
group_6080	1.96E-01	2.16E-01	5.01E-01	-7.54E-02	1.12E-01	4.10E-02	
group_5921	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_4959	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_4506	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_4503	1.96E-01	1.23E-01	2.44E-01	-1.27E-01	1.09E-01	7.09E-02	
group_4440	1.96E-01	1.23E-01	2.44E-01	-1.27E-01	1.09E-01	7.09E-02	
group_4418	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_4323	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_4310	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_4241	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_4139	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_4050	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_3996	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_3933	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_3854	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_3848	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_3843	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_3830	1.96E-01	2.16E-01	5.04E-01	-7.52E-02	1.12E-01	4.08E-02	
group_3810	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_3724	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_3659	1.96E-01	2.16E-01	5.01E-01	-7.54E-02	1.12E-01	4.10E-02	
group_3616	1.96E-01	3.52E-01	8.41E-01	-2.25E-02	1.12E-01	1.23E-02	
group_3466	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_3326	1.96E-01	1.23E-01	2.32E-01	-1.27E-01	1.06E-01	7.29E-02	
group_3268	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_3248	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_3204	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_3061	1.99E-01	2.86E-01	6.72E-01	-4.65E-02	1.10E-01	2.58E-02	
xamI	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_2461	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_2350	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_1397	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_1158	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_897	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_746	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_254	1.96E-01	1.23E-01	2.54E-01	-1.29E-01	1.13E-01	6.96E-02	
group_24019	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_22934	2.14E-01	9.63E-02	7.32E-01	2.80E-02	8.15E-02	2.09E-02	
group_22695	2.14E-01	9.63E-02	7.32E-01	2.80E-02	8.15E-02	2.09E-02	
group_21892	2.14E-01	9.63E-02	7.32E-01	2.80E-02	8.15E-02	2.09E-02	
group_21310	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_20533	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
allR	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_17644	2.10E-01	3.46E-02	6.40E-02	1.43E-01	7.70E-02	1.13E-01	
group_17227	2.10E-01	3.46E-02	6.40E-02	1.43E-01	7.70E-02	1.13E-01	
group_16439	2.10E-01	3.46E-02	6.40E-02	1.43E-01	7.70E-02	1.13E-01	
group_16355	2.07E-01	4.90E-02	7.82E-02	1.38E-01	7.80E-02	1.07E-01	
group_11788	1.92E-01	1.59E-01	3.17E-01	-1.06E-01	1.06E-01	6.10E-02	
group_10293	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_10138	1.96E-01	5.33E-01	8.64E-01	1.81E-02	1.06E-01	1.05E-02	
group_9884	2.14E-01	9.63E-02	7.32E-01	2.80E-02	8.15E-02	2.09E-02	
group_9474	1.92E-01	2.71E-01	6.42E-01	-5.19E-02	1.12E-01	2.84E-02	
group_8896	2.10E-01	7.48E-01	7.68E-01	-2.30E-02	7.78E-02	1.80E-02	
group_8724	2.10E-01	7.48E-01	7.68E-01	-2.30E-02	7.78E-02	1.80E-02	
group_8699	2.10E-01	7.48E-01	7.68E-01	-2.30E-02	7.78E-02	1.80E-02	
group_8598	2.03E-01	1.29E-01	7.44E-01	2.66E-02	8.14E-02	1.99E-02	
group_8153	2.10E-01	7.48E-01	7.68E-01	-2.30E-02	7.78E-02	1.80E-02	
group_7194	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_7144	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_7030	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_6845	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_6101	1.92E-01	2.71E-01	6.42E-01	-5.19E-02	1.12E-01	2.84E-02	
group_6100	1.92E-01	2.71E-01	6.42E-01	-5.19E-02	1.12E-01	2.84E-02	
group_6013	2.10E-01	7.48E-01	7.68E-01	-2.30E-02	7.78E-02	1.80E-02	
group_6001	2.03E-01	1.29E-01	7.44E-01	2.66E-02	8.14E-02	1.99E-02	
group_5724	2.10E-01	7.48E-01	7.68E-01	-2.30E-02	7.78E-02	1.80E-02	
group_4414	2.10E-01	7.83E-01	8.92E-02	-1.38E-01	8.10E-02	1.03E-01	
group_4396	2.14E-01	9.63E-02	7.32E-01	2.80E-02	8.15E-02	2.09E-02	
gatC	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_4368	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_4286	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_4081	2.14E-01	9.63E-02	7.32E-01	2.80E-02	8.15E-02	2.09E-02	
group_3977	2.14E-01	9.63E-02	7.32E-01	2.80E-02	8.15E-02	2.09E-02	
group_3975	1.92E-01	2.71E-01	6.42E-01	-5.19E-02	1.12E-01	2.84E-02	
group_3523	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_3477	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_3403	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_3349	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_3154	1.92E-01	4.29E-01	9.99E-01	-1.71E-04	1.11E-01	9.37E-05	
group_3117	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
